WDJname,predicted_class,probability_of_predicted_class,spec_continuum_median_SNR,|                   |,prob_CV,prob_DA,prob_DAH,prob_DAZ_DZA,prob_DB,prob_DBZ_DZB,prob_DC,prob_DO,prob_DQ,prob_DZ
WDJ124326.66+010542.89,DA,0.9974045,8.6787,|                   |,0.00031933343,0.9974045,0.00056736876,0.00054676423,8.9965964e-05,4.9318174e-08,0.00019908711,0.0003015728,0.00031238323,0.00025890366
WDJ123323.19+572503.52,DA,0.99732125,14.5075,|                   |,0.00010670705,0.99732125,0.00020801487,0.0010813182,0.00012411093,1.3456388e-07,0.0005475512,0.00014603886,0.00038473806,8.0213875e-05
WDJ121319.72+462103.82,DA,0.9975844,10.0603,|                   |,0.0003424236,0.9975844,0.00043934968,0.0005174558,0.00010533956,5.464056e-08,0.00019670598,0.0002762607,0.00027027965,0.00026789514
WDJ122006.63+731830.68,DA,0.9976536,12.7121,|                   |,0.00018269313,0.9976536,0.00043965387,0.00076115335,8.711819e-05,6.646626e-08,0.00035754044,0.00018134213,0.00024599078,9.080159e-05
WDJ120020.72+682019.91,DA,0.9961171,11.1023,|                   |,0.0004297726,0.9961171,0.00083353644,0.00056069985,0.00033068683,1.861388e-07,0.00048244454,0.0003741902,0.0004378898,0.00043342536
WDJ124014.87+755841.78,DA,0.99654293,13.3336,|                   |,0.0005978569,0.99654293,0.00074374204,0.0007214078,0.00010625234,7.6917175e-08,0.0005084561,0.00037733722,0.00018195799,0.00021984898
WDJ125503.13+252221.62,DA,0.76524943,7.4275,|                   |,0.005486976,0.76524943,0.0153000215,0.0014735755,0.015599278,3.0038198e-05,0.17061901,0.009541725,0.013641155,0.0030587655
WDJ123952.14+615055.77,DAH,0.7478409,29.8508,|                   |,0.0075768195,0.008527721,0.7478409,7.637463e-06,0.19630954,0.00017581563,0.017271005,0.013037408,0.006692075,0.0025610127
WDJ122139.98+373547.99,P<0.7,0.58583957,8.922,|                   |,0.01194779,0.58583957,0.024146674,0.00078643387,0.09210074,0.00012363648,0.2169831,0.02815914,0.027087938,0.01282499
WDJ120459.30-063114.26,DA,0.99586415,11.1931,|                   |,0.0006247749,0.99586415,0.0010854091,0.0005632911,0.000107207634,6.06399e-08,0.00076216116,0.00046382876,0.000238001,0.0002910634
WDJ123201.93+690002.90,DA,0.99729216,17.9059,|                   |,0.000449826,0.99729216,0.0002305944,0.0010280063,0.000100772544,1.038761e-07,0.00021926175,0.00023055791,0.00021484683,0.00023390075
WDJ125935.31+772139.92,DA,0.9965022,13.3875,|                   |,0.0004980456,0.9965022,0.0007865366,0.00071590074,0.00012303246,8.8388184e-08,0.00034319714,0.00040516423,0.00030845223,0.00031738586
WDJ123544.36+623414.43,DB,0.9972352,31.6893,|                   |,5.6487017e-05,1.8000438e-08,0.00034330037,2.0428518e-11,0.9972352,0.0011317522,3.5460263e-05,0.0001835019,0.0001066546,0.00090771436
WDJ125706.76+613507.77,DA,0.99650055,12.1269,|                   |,0.0006268329,0.99650055,0.00021475002,0.0011956107,7.682191e-05,9.2171646e-08,0.00041993218,0.00029261454,0.0002759439,0.00039674368
WDJ121702.97+000804.67,DA,0.997335,11.3635,|                   |,3.6559948e-05,0.997335,0.0014071009,0.0007587559,2.9992241e-05,2.2817598e-08,0.00025379958,3.337015e-05,0.00011712423,2.8309081e-05
WDJ124030.35-031027.70,DA,0.9950723,12.3818,|                   |,0.00035614407,0.9950723,0.00029985572,0.0023819318,0.00026083936,6.243783e-07,0.00036939137,0.00035720516,0.0006705816,0.00023112833
WDJ124341.26+624836.22,DA,0.9971627,53.8239,|                   |,0.00037805198,0.9971627,0.00021739365,0.0014925913,7.878319e-05,1.179257e-07,0.00012776685,0.00017534333,0.00022365389,0.00014365444
WDJ122910.39+504736.31,DC,0.8956415,10.4813,|                   |,0.0008648664,0.08215332,0.014384723,2.4789018e-05,0.0013878279,4.1876447e-07,0.8956415,0.002003935,0.003191296,0.00034733914
WDJ120900.04+700758.00,DA,0.99613255,37.0636,|                   |,0.00033293254,0.99613255,0.0018706828,0.0005288568,0.00016944333,8.995917e-08,0.00023560271,0.00034832262,0.00024532474,0.00013615769
WDJ124754.81+045928.68,DA,0.99740916,15.3314,|                   |,0.00031409334,0.99740916,0.0002988782,0.00093982276,0.000112993235,1.0646946e-07,0.00019599716,0.00024817296,0.00026674962,0.00021408233
WDJ122346.60+564525.15,P<0.7,0.6470353,10.7955,|                   |,0.00083785155,0.6470353,0.021664323,0.0073106033,0.0031389599,3.5465902e-05,0.29664055,0.002987668,0.019418078,0.0009312099
WDJ122627.61+695600.94,DB,0.99945533,12.1001,|                   |,3.980026e-06,1.9946519e-13,8.6590035e-06,7.884096e-17,0.99945533,0.00039504646,3.3152528e-06,5.2610176e-05,8.043625e-06,7.3102136e-05
WDJ125627.90-085243.13,DA,0.9951679,10.6859,|                   |,0.0008980749,0.9951679,0.00045809706,0.001230168,0.00010144657,1.2540228e-07,0.0010431859,0.00039143112,0.00032278927,0.0003866792
WDJ122807.73+002219.62,DA,0.99659777,37.8753,|                   |,0.0002852302,0.99659777,0.00037292257,0.001860687,0.00011611739,2.1679571e-07,0.00018269381,0.00017803437,0.0002828818,0.00012340043
WDJ125127.98+113934.44,DA,0.95762324,7.3762,|                   |,0.003670957,0.95762324,0.0028786522,0.0021187565,0.00248419,5.4963098e-06,0.022662822,0.002884507,0.003664477,0.0020068132
WDJ121945.68+644819.18,DC,0.89528906,13.4166,|                   |,0.001813422,0.00023721442,0.0021461805,2.2096037e-07,0.079428785,7.398628e-05,0.89528906,0.013866732,0.0064870976,0.00065740873
WDJ124549.79-041259.10,DA,0.99558437,10.7835,|                   |,0.0001407521,0.99558437,0.0006503399,0.0010139311,0.000262287,2.6712047e-07,0.000982813,0.00017744409,0.0008946075,0.00029308244
WDJ125219.73+262438.32,DA,0.99620926,10.15,|                   |,0.00027282513,0.99620926,0.00097410864,0.001215219,0.00017918962,2.1858322e-07,0.00023085269,0.00034968508,0.00043789388,0.00013077578
WDJ120942.91-080435.48,DA,0.9987641,6.7158,|                   |,0.00010478504,0.9987641,0.00020253145,0.00032688802,1.18285525e-05,3.871397e-09,0.00012923045,3.4390094e-05,0.00010734792,0.00031883645
WDJ124415.87+074441.79,DA,0.9943359,6.7478,|                   |,0.00026069224,0.9943359,0.0013675869,0.0011648262,0.00032354452,3.7901992e-07,0.00077739824,0.00044909088,0.00090126,0.0004192735
WDJ121256.24+334359.76,DA,0.994316,6.4144,|                   |,0.00036406133,0.994316,0.0016691682,0.00062214397,0.00029990452,1.876504e-07,0.0010835206,0.00049307075,0.000680014,0.00047188328
WDJ124238.34+612124.30,DA,0.9953428,58.8121,|                   |,0.00025943198,0.9953428,0.0033511112,0.00033803636,0.00012360523,4.1978566e-08,0.00014826999,0.00019373327,0.00014877536,9.423563e-05
WDJ124455.15+040220.54,DA,0.9988217,7.9139,|                   |,7.36378e-05,0.9988217,0.00011670103,0.00032196267,1.3315422e-05,4.292126e-09,0.00016959864,2.2902042e-05,0.00010648259,0.00035373901
WDJ122500.26+561858.17,DA,0.996066,11.0376,|                   |,0.00046014812,0.996066,0.0013364125,0.0004646104,0.00025813965,1.2040806e-07,0.00027338637,0.00050704175,0.0003450688,0.0002891567
WDJ124505.41+024951.29,DA,0.9967035,9.7473,|                   |,0.00031807012,0.9967035,0.00026071147,0.0014405077,0.00013998956,2.02323e-07,0.00028587444,0.00023733663,0.00038166973,0.00023211702
WDJ122955.53+172215.74,DA,0.9954108,7.7049,|                   |,0.00036632444,0.9954108,0.0021009946,0.0004387244,0.00018968589,8.36035e-08,0.00057023385,0.0004057042,0.00028485598,0.00023266904
WDJ121458.11+530928.05,DA,0.99768525,14.5771,|                   |,0.00038886073,0.99768525,0.00017285219,0.00084891997,9.783321e-05,8.324526e-08,0.00019033771,0.00019461838,0.00019429346,0.00022692431
WDJ123504.43+620517.94,P<0.7,0.4188431,25.3213,|                   |,0.01675274,0.16079034,0.4188431,0.00018507797,0.07301154,8.4040046e-05,0.061948508,0.24279837,0.018881384,0.006704931
WDJ120032.18-002004.38,DA,0.9965473,18.8314,|                   |,0.0005374195,0.9965473,0.00024394823,0.0009585543,9.7592914e-05,9.3872224e-08,0.0006321496,0.0003045845,0.0003519704,0.0003264974
WDJ120330.37+053826.10,DA,0.9945392,13.1223,|                   |,0.00038663147,0.9945392,0.0010558023,0.0009199668,0.00037465207,3.4655994e-07,0.0008677226,0.0005672918,0.00083621417,0.0004520749
WDJ121813.59+461806.10,DB,0.95941406,9.5787,|                   |,0.0009426348,9.907171e-05,0.0038413422,1.5609402e-08,0.95941406,0.00015116202,0.0004837709,0.0027975854,0.0018232068,0.03044701
WDJ125557.21-041706.48,DQ,0.94661397,12.5015,|                   |,0.0010653316,8.699154e-06,0.029999612,5.453867e-09,0.018332316,1.1493304e-05,0.0015598214,0.94661397,0.0016597208,0.00074905064
WDJ122141.42+045106.32,DA,0.9934163,6.4176,|                   |,0.00024334737,0.9934163,0.0030434746,0.0006640861,0.00013708345,9.1638526e-08,0.0016002132,0.0002488907,0.00042088135,0.00022554879
WDJ125730.32-001150.98,DA,0.9946662,19.2738,|                   |,0.00016363803,0.9946662,0.0016472173,0.0012886303,0.00040997827,5.3114337e-07,0.00029069182,0.00044679546,0.00048980274,0.00059647486
WDJ123452.88-003819.34,DA,0.99585766,10.9259,|                   |,0.00055449666,0.99585766,0.00080643327,0.000913825,0.00012100766,1.1103979e-07,0.000715864,0.0003701672,0.00032277324,0.00033766474
WDJ122555.31+612429.28,DA,0.99437857,38.4081,|                   |,0.00010760228,0.99437857,5.114283e-06,0.0007354473,2.1449699e-07,1.5864304e-10,2.9598857e-06,1.1364501e-06,1.8421206e-05,0.0047505093
WDJ120924.36+740639.27,P<0.7,0.5118516,35.9425,|                   |,9.477715e-06,1.4307213e-05,0.00020151345,0.48628038,6.8238353e-09,0.00023193176,0.0003161627,0.00013202493,0.5118516,0.00096257793
WDJ122130.11-033918.67,DA,0.99722874,28.4084,|                   |,0.0004281632,0.99722874,0.00031454625,0.0009849631,0.00014699438,1.451864e-07,0.00022246799,0.00022505883,0.0002617941,0.0001872897
WDJ123108.39+335346.75,DA,0.99338716,19.0405,|                   |,0.00054514996,0.99338716,0.00066833646,0.0014910195,0.0011224791,1.6847794e-06,0.00066812267,0.0006005338,0.00093668903,0.0005787691
WDJ122313.17-061725.54,DA,0.9971321,10.8609,|                   |,0.00038017603,0.9971321,0.0008542881,0.0004230954,0.000118813026,5.041382e-08,0.0003507358,0.00033838346,0.00018221443,0.00022020795
WDJ122147.27+330426.63,DA,0.91641015,44.5281,|                   |,2.5501919e-05,0.91641015,0.0005699228,0.08186399,0.0001165852,1.0414692e-05,0.00011248252,0.00010494377,0.00072527735,6.081551e-05
WDJ125501.08-035031.92,DA,0.9947646,7.7653,|                   |,0.00015768097,0.9947646,0.0011930414,0.0011766017,0.00033393767,3.949795e-07,0.0010691988,0.00024717106,0.00077788654,0.0002795275
WDJ120041.04+641821.09,DA,0.9975347,24.0821,|                   |,0.00028281406,0.9975347,0.00041952374,0.00092948665,0.00013738724,1.280152e-07,0.00018122488,0.00019839809,0.00018446168,0.00013201071
WDJ125825.94+772250.46,DC,0.94455224,12.0762,|                   |,0.0018305541,0.015780732,0.006954941,1.709073e-05,0.01775798,1.9232117e-05,0.94455224,0.005690363,0.0069904635,0.00040646052
WDJ120721.63+555443.12,DA,0.997228,13.4841,|                   |,0.00013176368,0.997228,0.0014230349,0.0005744136,6.828617e-05,3.933354e-08,0.00018492648,0.00013296794,0.00018272444,7.379918e-05
WDJ121506.31+492255.90,DA,0.9970688,19.9441,|                   |,0.0001748861,0.9970688,0.0007333204,0.0013207864,0.00012674124,1.6789022e-07,0.00011546704,0.00018709346,0.00019836305,7.43363e-05
WDJ122217.49+123205.42,DA,0.9908002,6.6315,|                   |,0.000513865,0.9908002,0.0055980836,0.0004727321,0.00023413208,1.11709454e-07,0.00078796124,0.00069974235,0.0005090108,0.0003841057
WDJ125413.79-023608.53,DZ,0.9013841,13.7504,|                   |,4.629487e-07,3.2642253e-09,6.1907003e-06,0.09791698,3.2671012e-12,9.800325e-05,2.0728867e-05,3.0285095e-05,0.9013841,0.0005432097
WDJ121247.14+544039.25,DA,0.99372876,12.9443,|                   |,0.00021881664,0.99372876,0.0045272154,0.00041975657,8.771683e-05,3.7052075e-08,0.000504306,0.00025529202,0.00018958398,6.856893e-05
WDJ122717.44+563825.70,DA,0.99733865,17.2067,|                   |,0.0005163392,0.99733865,0.00048865605,0.00043600504,0.00013547397,5.922495e-08,0.0002771445,0.00030177087,0.00022571048,0.0002801973
WDJ125402.00-003402.81,DA,0.9415546,12.1451,|                   |,0.0002074573,0.9415546,7.082688e-05,0.001385967,0.0028899228,4.2539623e-06,0.0001131766,9.836723e-05,0.0006643963,0.053011
WDJ125230.93-023417.72,DC,0.9236135,38.9561,|                   |,0.0026759575,0.020666638,0.034548987,2.5159548e-05,0.0024937962,3.0359454e-06,0.9236135,0.004539071,0.011026647,0.00040724673
WDJ123336.15+404343.05,DA,0.9970114,17.6493,|                   |,0.00029245362,0.9970114,0.00050526415,0.001271278,0.00011133915,1.419673e-07,0.00015236298,0.00025397545,0.00028001398,0.000121804966
WDJ121913.71-031946.02,DA,0.9914802,18.8789,|                   |,0.0001226545,0.9914802,0.0059401398,0.0006863119,0.00013118901,9.0810275e-08,0.00087454607,0.00028527708,0.0003246126,0.00015491828
WDJ122007.05+035629.48,DA,0.9966826,15.9232,|                   |,0.00051792065,0.9966826,0.00026407678,0.0010384689,7.666561e-05,7.987985e-08,0.00050347677,0.00028994255,0.00028203765,0.00034480228
WDJ120537.89-050211.49,DA,0.9961244,18.3702,|                   |,0.00027847913,0.9961244,0.00032822098,0.0021445393,0.00015426907,3.3212325e-07,0.00030913381,0.00020944107,0.0003204548,0.00013059637
WDJ124444.21+130951.28,DA,0.99492115,8.6609,|                   |,0.00013526317,0.99492115,0.0026784234,0.000631087,9.644558e-05,6.117626e-08,0.00092034804,0.00013183967,0.00034499544,0.00014035625
WDJ121704.10+520256.48,DA,0.99845827,15.3066,|                   |,6.646286e-05,0.99845827,0.00012222606,0.00055572006,2.3881186e-05,1.3291746e-08,6.6633256e-05,3.8964594e-05,0.0001182572,0.000549586
WDJ122737.52+315927.92,DA,0.9963491,19.8418,|                   |,1.2309743e-05,0.9963491,0.0008120759,0.0022948592,3.58868e-05,8.265692e-08,0.00033327742,1.8553987e-05,0.00011988881,2.4045246e-05
WDJ121546.38+041907.01,DA,0.99697167,10.2085,|                   |,0.0003219039,0.99697167,0.0010676386,0.00040181016,0.0001441266,5.8087448e-08,0.0001978994,0.0003564441,0.00031749284,0.00022091175
WDJ122446.35-043103.84,DQ,0.7437185,30.9971,|                   |,0.0041761855,0.000233612,0.224009,2.116441e-07,0.015618344,1.4149661e-05,0.0050472654,0.7437185,0.0065166485,0.0006660837
WDJ122651.77+312343.36,DA,0.9975813,19.3125,|                   |,0.00038914138,0.9975813,0.00020978562,0.00085665897,0.00014070873,1.2083164e-07,0.00013881066,0.00022094391,0.00020798638,0.0002544451
WDJ125335.02+163021.23,DC,0.70633394,9.0791,|                   |,0.0010279573,0.26674142,0.017880203,0.00011191832,0.000891057,3.7386621e-07,0.70633394,0.0018697968,0.004666002,0.00047739348
WDJ125854.90+320428.51,DA,0.9974454,23.7763,|                   |,3.0774718e-05,0.9974454,0.0004233808,0.0014182129,9.609331e-05,1.3662981e-07,0.00026469404,6.7790075e-05,0.00021025626,4.3299795e-05
WDJ123446.89+164723.47,DA,0.99671364,14.0479,|                   |,0.00040690994,0.99671364,0.00036967162,0.0007303133,0.00020803943,1.5243492e-07,0.00029945455,0.00042533886,0.00040551103,0.00044087865
WDJ123313.51+082402.65,DQ,0.85428005,12.9884,|                   |,0.002094305,0.00018184293,0.048171997,1.3615595e-07,0.08432956,6.3142244e-05,0.0029346978,0.85428005,0.003692871,0.0042514033
WDJ121934.05+124420.72,DA,0.9965175,16.3422,|                   |,0.0003450114,0.9965175,0.0005822764,0.00089738064,0.00013304185,1.1980642e-07,0.0003541782,0.00036142993,0.00047908336,0.00032999853
WDJ122408.65+563951.27,DA,0.9972405,27.0228,|                   |,0.00044285163,0.9972405,0.0003617093,0.0009457899,0.00014145972,1.3416141e-07,0.00019198807,0.00024849485,0.00021524641,0.00021185153
WDJ122336.92+532829.87,DA,0.99539876,23.3262,|                   |,0.00026604923,0.99539876,0.00095908623,0.0016220846,0.0002760891,4.4991003e-07,0.00027207207,0.00039785536,0.00056318514,0.00024438443
WDJ123534.84+391820.61,DQ,0.9695386,29.5956,|                   |,0.0007345395,2.0671237e-07,0.02320444,1.5510955e-10,0.005235772,3.9287356e-06,0.00031594397,0.9695386,0.0008789258,8.7588174e-05
WDJ121229.84+505401.56,DA,0.9981796,18.1807,|                   |,0.00022291536,0.9981796,0.00014266773,0.00064589514,1.8138266e-05,1.1736783e-08,0.00012922507,4.4112483e-05,0.00012660507,0.000490841
WDJ121057.43-003334.16,DA,0.97804964,20.7457,|                   |,0.0007793777,0.97804964,0.01681253,0.00029071156,0.0008610452,2.5593363e-07,0.00043900433,0.0016981608,0.0007395937,0.0003296443
WDJ123355.31-081314.04,DA,0.99693054,9.2098,|                   |,0.00046376558,0.99693054,0.00037879107,0.00083262817,0.000102296995,8.5437605e-08,0.0003762107,0.0002848848,0.00029918866,0.00033163308
WDJ125739.66+291135.83,DA,0.99815464,24.4776,|                   |,5.7151585e-05,0.99815464,0.0008213057,0.00039357482,6.793385e-05,2.6786484e-08,0.00029133508,4.7008743e-05,0.00012372276,4.3180862e-05
WDJ123512.97+362323.65,DA,0.9961382,37.0714,|                   |,0.00013057324,0.9961382,0.002796125,0.00030011736,8.52268e-05,2.5677203e-08,0.00019908161,0.0001366265,0.0001583581,5.5725486e-05
WDJ120645.13+535838.21,DA,0.9972587,13.6361,|                   |,0.00049682613,0.9972587,0.00013208811,0.0010382936,5.2517364e-05,5.4678328e-08,0.00022951097,0.00021698826,0.00025760452,0.0003174255
WDJ120416.40-010924.99,DA,0.9971122,24.7238,|                   |,0.00021275686,0.9971122,0.00064847013,0.0009546508,7.960528e-05,7.6215336e-08,0.00017207162,0.00013517577,0.00018655964,0.00049840077
WDJ124435.67-075304.73,DA,0.9965847,13.6896,|                   |,0.00061399787,0.9965847,0.00027128885,0.0008861795,7.026883e-05,6.24842e-08,0.00076865504,0.00028953858,0.00023446255,0.00028095176
WDJ122434.66+561121.09,DA,0.9866998,15.6676,|                   |,0.0007147751,0.9866998,0.0087492,0.00038757574,0.0005772593,2.2674747e-07,0.0006020754,0.0013496593,0.0005736426,0.0003457483
WDJ124701.96+411341.07,P<0.7,0.5269659,17.8856,|                   |,0.01158715,0.025605857,0.17060025,4.92672e-05,0.10512339,0.00020226369,0.12883109,0.5269659,0.024992691,0.0060420916
WDJ123323.50+780949.94,P<0.7,0.50307125,5.871,|                   |,0.0024515337,0.05099183,0.020085601,0.028388917,0.50307125,0.28007716,0.009758994,0.018487776,0.028957462,0.05772953
WDJ122405.94+390648.00,DA,0.9951375,6.3978,|                   |,0.00039743408,0.9951375,0.0011603716,0.0011150405,0.00022289903,2.4975589e-07,0.00048202116,0.00037977681,0.0006380325,0.0004666212
WDJ124838.43+681327.53,DA,0.9934982,9.8099,|                   |,0.0007325932,0.9934982,0.0025568039,0.00041365167,0.000194396,8.093848e-08,0.00071094773,0.00092402584,0.00047581177,0.00049343007
WDJ121708.51+522716.46,DA,0.9956338,8.9709,|                   |,0.00040427313,0.9956338,0.0018596175,0.000388818,0.00017023695,6.648146e-08,0.0003600929,0.00048495526,0.00038270574,0.00031544053
WDJ122121.00+330634.60,DA,0.9975558,55.7011,|                   |,6.680006e-05,0.9975558,0.0016174782,0.00037796632,5.734821e-05,2.1728802e-08,9.0533176e-05,7.27403e-05,0.00012965272,3.1749412e-05
WDJ120646.48-055200.94,DA,0.9931863,6.6059,|                   |,0.0004190034,0.9931863,0.0016693601,0.0011879533,0.00027505643,3.289959e-07,0.0014168542,0.0005066066,0.0007953995,0.00054316956
WDJ124906.16+754303.32,DA,0.9968661,53.7527,|                   |,0.00033869126,0.9968661,0.00066140236,0.00090060715,4.9160553e-05,4.4413532e-08,0.00032554264,0.00012362392,0.00022358494,0.0005112481
WDJ120132.65+594034.22,DA,0.99764496,18.5395,|                   |,8.447446e-05,0.99764496,0.00036912534,0.00073532027,0.00011488386,8.467584e-08,0.00023957732,0.00012456981,0.0003154821,0.0003714895
WDJ120838.64-061648.85,DA,0.99777967,33.2588,|                   |,7.85742e-05,0.99777967,0.00013198983,0.00116079,3.0238525e-05,3.5178687e-08,0.00012852435,4.567472e-05,0.00014572135,0.0004988056
WDJ124202.13+750845.51,DA,0.99587584,123.6964,|                   |,0.0007099044,0.99587584,0.00014392786,0.002048916,7.110025e-05,1.4628172e-07,0.0002267337,0.00023640133,0.00033282753,0.00035416134
WDJ123836.35-004042.12,DA,0.9362533,22.7824,|                   |,0.003149359,0.9362533,0.005876347,0.0007527724,0.0092523005,7.439094e-06,0.002162483,0.002713988,0.0039209826,0.035910975
WDJ124952.21-082304.68,DB,0.99804884,23.4396,|                   |,2.042288e-05,2.339133e-09,0.000523931,1.0104037e-12,0.99804884,0.00043111364,1.8890092e-05,0.00042951765,7.2395436e-05,0.00045478495
WDJ125937.43+404628.21,DA,0.99318635,7.822,|                   |,0.00062612473,0.99318635,0.0013045281,0.001251494,0.000201457,2.5385188e-07,0.0019590084,0.00042883202,0.000547672,0.0004943451
WDJ123813.73-033932.97,CV,1.0,19.1005,|                   |,1.0,5.671513e-19,4.791165e-13,3.7141944e-23,6.652944e-18,4.35692e-22,1.536335e-11,1.5530528e-10,1.265912e-10,3.3098724e-10
WDJ122739.17+661224.39,DAH,0.99705243,18.9198,|                   |,0.000790027,0.00068510557,0.99705243,2.3655417e-07,0.00047762308,1.6491435e-07,3.5412257e-05,0.000777033,0.00015244786,2.9479275e-05
WDJ124110.96+081159.14,DA,0.9968757,34.5497,|                   |,0.00044819157,0.9968757,0.0005377511,0.00071833225,0.00015254371,1.0992049e-07,0.00039343518,0.0003362729,0.0002823341,0.00025519996
WDJ120241.61+551211.98,DA,0.99710864,18.5475,|                   |,0.00039392826,0.99710864,0.00015094032,0.0014704141,0.00010477707,1.5451245e-07,0.00014815955,0.00018221542,0.00022232498,0.00021846357
WDJ123521.23+334317.96,DA,0.99292165,16.0383,|                   |,0.0002790167,0.99292165,0.00079739187,0.002593351,0.00050007674,1.3061197e-06,0.0010804903,0.0004774495,0.0009908222,0.00035843978
WDJ121943.23+683631.47,DA,0.9833882,9.714,|                   |,0.00117998,0.9833882,0.009742256,0.00034079477,0.00037813382,1.3104288e-07,0.0013065082,0.0022431079,0.00074733375,0.0006735073
WDJ124713.89+132216.43,DA,0.70514005,7.4003,|                   |,0.0010561205,0.70514005,0.028405033,0.00023044551,0.00048752423,1.5932689e-07,0.2603499,0.0011826443,0.0026411437,0.0005069686
WDJ120326.91+532923.71,DA,0.997204,25.5308,|                   |,0.00019874086,0.997204,0.0011352005,0.00069381256,0.00012249172,8.5224585e-08,0.00012103985,0.00020585133,0.00024311723,7.567404e-05
WDJ124251.85+282812.18,DA,0.9954217,6.9101,|                   |,0.00035733014,0.9954217,0.002252418,0.00022850862,0.00028139088,6.459599e-08,0.00021524158,0.0005011022,0.0004057685,0.0003364586
WDJ123852.50+402947.86,DA,0.9280609,9.633,|                   |,0.0010197914,0.9280609,0.066777214,0.00018916267,0.00050076103,1.0206798e-07,0.0008293736,0.001791488,0.0005618425,0.00026926227
WDJ125436.72+030036.52,DA,0.99196655,13.4399,|                   |,0.00041952747,0.99196655,0.0055252635,0.00038199627,0.000118597,4.5670504e-08,0.0007487493,0.0004321357,0.00023925213,0.00016787864
WDJ120421.65-051326.53,DA,0.9763507,37.1945,|                   |,0.005168557,0.9763507,0.0004386043,0.0004140929,2.3212398e-05,9.844915e-09,0.00016418436,0.00010062868,0.00033297323,0.017006923
WDJ121841.15+032022.14,DA,0.99728036,55.0546,|                   |,0.00040854054,0.99728036,0.0006073618,0.00072554,0.00019239071,1.3996781e-07,0.00021831029,0.00017591113,0.00018351272,0.00020782618
WDJ121952.05+605739.35,DA,0.9972099,16.5476,|                   |,0.00041349808,0.9972099,0.0006149757,0.00058739143,0.00010514999,6.1937016e-08,0.0003507473,0.00034018132,0.00020116419,0.00017702587
WDJ125248.55+034334.36,DA,0.99687815,16.3865,|                   |,0.00039667008,0.99687815,0.001045586,0.00037463926,0.00026656297,1.001777e-07,0.00021614307,0.00035065223,0.0002278893,0.00024348433
WDJ125814.17+683649.09,DA,0.9974784,7.9992,|                   |,0.0002645135,0.9974784,0.0005202801,0.00054478773,0.0001182059,6.455992e-08,0.00020408366,0.0003011795,0.00031378673,0.00025470738
WDJ120332.34+474206.76,DA,0.99708533,33.2902,|                   |,0.0004212784,0.99708533,0.00022873908,0.0007837852,0.000117571326,9.242004e-08,0.00032603747,0.00024288894,0.000444368,0.00034977793
WDJ123852.50+030216.57,DA,0.9968834,12.516,|                   |,0.0005211981,0.9968834,0.00021960716,0.0010069968,6.932737e-05,7.00307e-08,0.00038421026,0.00027986683,0.00029836482,0.00033690737
WDJ125604.56-054816.45,DA,0.9972673,8.073,|                   |,5.3231714e-05,0.9972673,0.0002477244,0.0011092571,0.00013904102,1.5465487e-07,0.00031984356,0.000103741586,0.00045561625,0.0003040099
WDJ121731.45+610521.29,DA,0.99783295,8.683,|                   |,3.4456378e-05,0.99783295,0.00011655565,0.0012286536,5.0902527e-05,6.26774e-08,0.00018938491,4.7818332e-05,0.00025417798,0.00024503833
WDJ124709.29+133125.61,DA,0.99477565,6.0628,|                   |,0.00050717493,0.99477565,0.0014802669,0.0007730776,0.00022435706,1.7435632e-07,0.0006702171,0.0005373071,0.000559589,0.0004722278
WDJ120936.52+535525.76,P<0.7,0.4361882,12.1773,|                   |,0.0019696215,0.0005785179,0.4361882,1.07132536e-07,0.26132163,4.839271e-05,0.00016396782,0.2852047,0.010061346,0.0044636223
WDJ120927.94-030206.31,DA,0.9942117,57.5361,|                   |,0.00015325267,0.9942117,3.7786824e-05,0.00088408875,5.2075925e-06,4.6307784e-09,2.689628e-05,8.02988e-06,0.00012239558,0.0045506777
WDJ125537.46+354613.87,DA,0.9942093,9.8931,|                   |,0.00015565753,0.9942093,0.0029382103,0.00043529095,9.208394e-05,4.0316767e-08,0.0015512047,0.0001279204,0.0003202847,0.00016996778
WDJ123254.26+364405.51,DA,0.99652797,34.0209,|                   |,0.00037331376,0.99652797,0.00036885455,0.0015015764,0.00015258142,2.299109e-07,0.00034215237,0.00025951254,0.00030810593,0.00016566756
WDJ124320.78+645257.57,DB,0.98122436,33.2195,|                   |,0.00050960993,2.3271117e-05,0.011801484,4.2721386e-08,0.98122436,0.001801343,0.00024227082,0.00084430317,0.0011525799,0.002400652
WDJ121613.37+615816.76,DA,0.99710447,19.2851,|                   |,0.00037083984,0.99710447,0.00016742534,0.0014040301,8.219356e-05,1.1573736e-07,0.00016880206,0.00022124522,0.00028859338,0.00019220634
WDJ124944.65+601844.52,DA,0.99658257,14.7264,|                   |,0.00033374617,0.99658257,0.00027565676,0.001372883,0.00014261476,1.964648e-07,0.00046962584,0.00023684412,0.00037451927,0.00021140599
WDJ125506.63+164151.18,DA,0.9147106,7.2176,|                   |,0.0022722727,0.9147106,0.00980871,0.00096827646,0.0026098627,2.7626977e-06,0.061181046,0.0035580834,0.0034240019,0.0014643875
WDJ124238.82+612118.94,DA,0.99674416,22.6931,|                   |,0.00024363304,0.99674416,0.00039723364,0.0011168546,0.00020223863,2.2660895e-07,0.0005232959,0.00020441235,0.00039888956,0.00016909267
