WDJname,predicted_class,probability_of_predicted_class,spec_continuum_median_SNR,|                   |,prob_CV,prob_DA,prob_DAH,prob_DAZ_DZA,prob_DB,prob_DBZ_DZB,prob_DC,prob_DO,prob_DQ,prob_DZ
WDJ092813.21+020905.65,DA,0.9963514,18.1583,|                   |,0.0003690474,0.9963514,0.001195641,0.00089552236,0.00015459838,1.3895328e-07,0.00028043368,0.00034829185,0.0002495302,0.00015524699
WDJ093515.99+562042.44,DA,0.9974435,17.0682,|                   |,6.09215e-05,0.9974435,0.00026057067,0.00089618197,0.00022029062,1.9792648e-07,0.00013933623,0.000105229075,0.00023403316,0.00063978275
WDJ094548.86-074741.62,DC,0.9599793,14.0378,|                   |,0.00067363435,0.0241065,0.010128472,4.4945136e-06,0.0012482768,2.3273377e-07,0.9599793,0.0014193035,0.0022564924,0.00018339959
WDJ094901.29-001909.54,DA,0.9953759,76.6414,|                   |,0.00038257116,0.9953759,0.002755311,0.0004660112,0.00018582134,8.699711e-08,0.00018563744,0.0002769426,0.00022069116,0.00015108417
WDJ091003.99-072006.96,DA,0.99720186,22.5311,|                   |,0.00033477703,0.99720186,0.00041716866,0.0009884635,0.00017365968,1.721379e-07,0.0001999201,0.0002396549,0.0002491598,0.00019511473
WDJ093332.74+690523.34,DQ,0.9133052,21.5552,|                   |,0.0023874915,0.0003498929,0.056327503,5.9807e-07,0.016065935,2.7461412e-05,0.0062351176,0.9133052,0.004292911,0.0010077932
WDJ092926.45+013535.55,DA,0.9937509,10.7601,|                   |,0.00043548568,0.9937509,0.003944007,0.00044266047,0.0002130364,9.48958e-08,0.00024309463,0.00050714746,0.00029997402,0.00016352307
WDJ090148.62+005015.87,DA,0.9972914,14.7991,|                   |,0.00033727524,0.9972914,0.00034411898,0.0009529521,7.859839e-05,7.510392e-08,0.00039938567,0.00019302165,0.00021432854,0.0001888795
WDJ092415.25+351651.40,DA,0.99607104,59.6147,|                   |,0.00047818566,0.99607104,0.0016782116,0.00039955924,0.00024984617,1.0022211e-07,0.00032779813,0.00033140634,0.00024237487,0.0002215456
WDJ091802.84-020506.45,P<0.7,0.6189291,23.6157,|                   |,0.0019349102,0.6189291,0.14067991,0.082124785,0.0050190967,0.00066597655,0.0680749,0.00917477,0.07093274,0.0024637787
WDJ090746.52+385643.59,DA,0.9958145,72.7531,|                   |,0.0005750917,0.9958145,0.0004871956,0.0012800144,0.000167113,2.1480614e-07,0.00049421244,0.0003396935,0.00044723615,0.0003945985
WDJ091746.66-070816.09,DA,0.9962874,10.766,|                   |,0.00055458257,0.9962874,0.00021786023,0.0013931231,9.053738e-05,1.2659973e-07,0.0004274985,0.00028969254,0.00036236484,0.0003767272
WDJ095204.00-023044.14,DA,0.9938744,28.4144,|                   |,0.00013500039,0.9938744,0.004414745,0.00020342453,0.00013321175,2.7265557e-08,0.0008450792,0.00015289804,0.00017304513,6.816744e-05
WDJ092053.05+692645.36,P<0.7,0.5492885,34.2238,|                   |,0.004763684,0.07109712,0.20148486,5.650607e-05,0.14989808,0.000119134944,0.0033232733,0.5492885,0.011698257,0.008270541
WDJ095606.84+572721.85,DA,0.9844347,9.062,|                   |,0.0008672561,0.9844347,0.0115731675,0.000273264,0.0003909892,1.0853262e-07,0.0004753164,0.0011751623,0.00048471472,0.00032520187
WDJ095938.32+125356.53,DA,0.9944302,5.46,|                   |,0.00023637086,0.9944302,0.0028147006,0.00046405024,0.00029081787,1.3570998e-07,0.00028405266,0.00057952607,0.00055879756,0.00034143485
WDJ094920.69+442743.84,DA,0.99564725,9.2359,|                   |,0.00042379004,0.99564725,0.0016611859,0.0006201184,0.00012938576,8.058527e-08,0.00050015055,0.0003986574,0.00033779486,0.00028157866
WDJ094251.49+041745.50,DA,0.998212,14.2397,|                   |,4.353089e-05,0.998212,0.00045774603,0.0008386597,5.6567413e-05,4.7525784e-08,0.00013392074,6.811763e-05,0.00015891582,3.048865e-05
